Graph 1 X	Graph 1 Y	Graph 2 X	Graph 2 Y	
159.8781	-12.8617	159.8781	-12.8617	
160.2439	-12.8469	160.2439	-12.8469	
160.6098	-12.8346	160.6098	-12.8346	
160.9756	-12.8222	160.9756	-12.8222	
161.3415	-12.8161	161.3415	-12.8161	
161.7073	-12.8156	161.7073	-12.8156	
162.0732	-12.8178	162.0732	-12.8178	
162.4390	-12.8196	162.4390	-12.8196	
162.8049	-12.8179	162.8049	-12.8179	
163.1708	-12.8099	163.1708	-12.8099	
163.5366	-12.7950	163.5366	-12.7950	
163.9025	-12.7802	163.9025	-12.7802	
164.2683	-12.7630	164.2683	-12.7630	
164.6342	-12.7457	164.6342	-12.7457	
165.0000	-12.7234	165.0000	-12.7234	
165.3659	-12.6988	165.3659	-12.6988	
165.7317	-12.6741	165.7317	-12.6741	
166.0976	-12.6444	166.0976	-12.6444	
166.4634	-12.6287	166.4634	-12.6287	
166.8293	-12.6266	166.8293	-12.6266	
167.1951	-12.6310	167.1951	-12.6310	
167.5610	-12.6344	167.5610	-12.6344	
167.9268	-12.6298	167.9268	-12.6298	
168.2927	-12.6099	168.2927	-12.6099	
168.6586	-12.5728	168.6586	-12.5728	
169.0244	-12.5333	169.0244	-12.5333	
169.3903	-12.4938	169.3903	-12.4938	
169.7561	-12.4518	169.7561	-12.4518	
170.1220	-12.3679	170.1220	-12.3679	
170.4878	-12.2815	170.4878	-12.2815	
170.8537	-12.1852	170.8537	-12.1852	
171.2195	-12.0667	171.2195	-12.0667	
171.5854	-12.0009	171.5854	-12.0009	
171.9512	-11.9883	171.9512	-11.9883	
172.3171	-12.0027	172.3171	-12.0027	
172.6829	-12.0185	172.6829	-12.0185	
173.0488	-12.0097	173.0488	-12.0097	
173.4147	-11.9506	173.4147	-11.9506	
173.7805	-11.8346	173.7805	-11.8346	
174.1464	-11.7160	174.1464	-11.7160	
174.5122	-11.6000	174.5122	-11.6000	
174.8781	-11.4839	174.8781	-11.4839	
175.2439	-11.4173	175.2439	-11.4173	
175.6098	-11.3555	175.6098	-11.3555	
175.9756	-11.3062	175.9756	-11.3062	
176.3415	-11.2839	176.3415	-11.2839	
176.7073	-11.2755	176.7073	-11.2755	
177.0732	-11.2739	177.0732	-11.2739	
177.4390	-11.2755	177.4390	-11.2755	
177.8049	-11.2768	177.8049	-11.2768	
178.1708	-11.2742	178.1708	-11.2742	
178.5366	-11.2642	178.5366	-11.2642	
178.9025	-11.2494	178.9025	-11.2494	
179.2683	-11.2469	179.2683	-11.2469	
179.6342	-11.2444	179.6342	-11.2444	
180.0000	-11.2444	180.0000	-11.2444	
180.3659	-11.2518	180.3659	-11.2518	
180.7317	-11.2592	180.7317	-11.2592	
181.0976	-11.2637	181.0976	-11.2637	
181.4634	-11.2656	181.4634	-11.2656	
181.8293	-11.2657	181.8293	-11.2657	
182.1951	-11.2648	182.1951	-11.2648	
182.5610	-11.2637	182.5610	-11.2637	
182.9269	-11.2631	182.9269	-11.2631	
183.2927	-11.2639	183.2927	-11.2639	
183.6586	-11.2667	183.6586	-11.2667	
184.0244	-11.2741	184.0244	-11.2741	
184.3903	-11.2913	184.3903	-11.2913	
184.7561	-11.3086	184.7561	-11.3086	
185.1220	-11.3185	185.1220	-11.3185	
185.4878	-11.3284	185.4878	-11.3284	
185.8537	-11.3347	185.8537	-11.3347	
186.2195	-11.3370	186.2195	-11.3370	
186.5854	-11.3366	186.5854	-11.3366	
186.9512	-11.3346	186.9512	-11.3346	
187.3171	-11.3325	187.3171	-11.3325	
187.6829	-11.3316	187.6829	-11.3316	
188.0488	-11.3330	188.0488	-11.3330	
188.4147	-11.3383	188.4147	-11.3383	
188.7805	-11.3481	188.7805	-11.3481	
189.1464	-11.3580	189.1464	-11.3580	
189.5122	-11.3555	189.5122	-11.3555	
189.8781	-11.3506	189.8781	-11.3506	
190.2439	-11.3309	190.2439	-11.3309	
190.6098	-11.3111	190.6098	-11.3111	
190.9756	-11.2988	190.9756	-11.2988	
191.3415	-11.2932	191.3415	-11.2932	
191.7073	-11.2924	191.7073	-11.2924	
192.0732	-11.2947	192.0732	-11.2947	
192.4390	-11.2983	192.4390	-11.2983	
192.8049	-11.3013	192.8049	-11.3013	
193.1708	-11.3019	193.1708	-11.3019	
193.5366	-11.2984	193.5366	-11.2984	
193.9025	-11.2889	193.9025	-11.2889	
194.2683	-11.2642	194.2683	-11.2642	
194.6342	-11.2049	194.6342	-11.2049	
195.0000	-11.1457	195.0000	-11.1457	
195.3659	-11.0839	195.3659	-11.0839	
195.7317	-11.0321	195.7317	-11.0321	
